,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Type_of_Item,Years_of_Operation,ItemType_Breads,ItemType_Breakfast,ItemType_Canned,ItemType_Dairy,ItemType_Frozen Foods,ItemType_Fruits and Vegetables,ItemType_Hard Drinks,ItemType_Health and Hygiene,ItemType_Household,ItemType_Meat,ItemType_Others,ItemType_Seafood,ItemType_Snack Foods,ItemType_Soft Drinks,ItemType_Starchy Foods
0,FDA15,9.3,1,0.016047301,249.8092,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,3735.138,Food,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,DRC01,5.92,2,0.019278216,48.2692,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,443.4228,Drinks,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,FDN15,17.5,1,0.016760075,141.618,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,2097.27,Food,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,FDX07,19.2,2,0.0,182.095,OUT010,1998-01-01,,Tier 3,Grocery Store,732.38,Food,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,NCD19,8.93,1,0.0,53.8614,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,994.7052,Non-Consumables,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,FDP36,10.395,2,0.0,51.4008,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,556.6088,Food,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,FDO10,13.65,2,0.012741089,57.6588,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,343.5528,Food,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,FDP10,,1,0.127469857,107.7622,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,4022.7636,Food,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,FDH17,16.2,2,0.016687114,96.9726,OUT045,2002-01-01,,Tier 2,Supermarket Type1,1076.5986,Food,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,FDU28,19.2,2,0.09444959,187.8214,OUT017,2007-01-01,,Tier 2,Supermarket Type1,4710.535,Food,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,FDY07,11.8,1,0.0,45.5402,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,1516.0266,Food,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,FDA03,18.5,2,0.045463773,144.1102,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,2187.153,Food,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,FDX32,15.1,2,0.1000135,145.4786,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,1589.2646,Food,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,FDS46,17.6,2,0.047257328,119.6782,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,2145.2076,Food,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,FDF32,16.35,1,0.0680243,196.4426,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,1977.426,Food,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,FDP49,9.0,2,0.069088961,56.3614,OUT046,1997-01-01,Small,Tier 1,Supermarket Type1,1547.3192,Food,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,NCB42,11.8,1,0.008596051,115.3492,OUT018,2009-01-01,Medium,Tier 3,Supermarket Type2,1621.8888,Non-Consumables,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,FDP49,9.0,2,0.069196376,54.3614,OUT049,1999-01-01,Medium,Tier 1,Supermarket Type1,718.3982,Food,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,DRI11,,1,0.034237682,113.2834,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,2303.668,Drinks,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,FDU02,13.35,1,0.10249212,230.5352,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,2748.4224,Food,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,FDN22,18.85,2,0.138190277,250.8724,OUT013,1987-01-01,High,Tier 3,Supermarket Type1,3775.086,Food,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,FDW12,,2,0.035399923,144.5444,OUT027,1985-01-01,Medium,Tier 3,Supermarket Type3,4064.0432,Food,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,NCB30,14.6,1,0.025698134,196.5084,OUT035,2004-01-01,Small,Tier 2,Supermarket Type1,1587.2672,Non-Consumables,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
